Event_ID,Event_Date,Event_Type,Location,Topic
E001,2024-05-10,Seminar,Miami,Topic 7
E002,2022-05-02,Seminar,San Francisco,Topic 11
E003,2022-03-29,Workshop,San Francisco,Topic 2
E004,2022-12-10,Webinar,Online,Topic 6
E005,2023-01-21,Seminar,Miami,Topic 1
E006,2023-04-05,Webinar,Online,Topic 12
E007,2024-05-06,Seminar,San Francisco,Topic 10
E008,2023-12-01,Workshop,San Francisco,Topic 12
E009,2024-04-11,Workshop,Miami,Topic 19
E010,2023-10-09,Seminar,Chicago,Topic 4
E011,2023-08-24,Local Chapter Event,Chicago,Topic 9
E012,2023-07-19,Seminar,Houston,Topic 15
E013,2024-08-13,Seminar,Miami,Topic 8
E014,2022-02-04,Local Chapter Event,Houston,Topic 18
E015,2024-10-22,Workshop,Chicago,Topic 4
E016,2023-12-04,Webinar,Online,Topic 12
E017,2022-06-11,Workshop,Houston,Topic 14
E018,2024-03-26,Workshop,Houston,Topic 8
E019,2023-12-21,Webinar,Online,Topic 15
E020,2024-12-12,Webinar,Online,Topic 13
E021,2024-11-30,Seminar,Miami,Topic 1
E022,2023-06-05,Webinar,Online,Topic 12
E023,2023-10-10,Annual Meeting,San Francisco,Topic 19
E024,2023-08-16,Webinar,Online,Topic 3
E025,2022-10-16,Webinar,Online,Topic 10
E026,2022-08-19,Webinar,Online,Topic 7
E027,2022-07-20,Webinar,Online,Topic 2
E028,2024-11-22,Annual Meeting,Miami,Topic 3
E029,2023-11-15,Webinar,Online,Topic 3
E030,2024-08-18,Workshop,San Francisco,Topic 1
E031,2024-10-25,Webinar,Online,Topic 14
E032,2024-05-20,Annual Meeting,Chicago,Topic 10
E033,2024-06-10,Seminar,New York,Topic 4
E034,2023-04-30,Seminar,Miami,Topic 15
E035,2023-06-25,Seminar,San Francisco,Topic 19
E036,2023-08-01,Webinar,Online,Topic 6
E037,2024-03-06,Webinar,Online,Topic 12
E038,2022-07-09,Seminar,New York,Topic 13
E039,2023-12-11,Workshop,New York,Topic 5
E040,2023-11-15,Seminar,San Francisco,Topic 9
E041,2023-03-18,Local Chapter Event,Chicago,Topic 3
E042,2024-08-09,Annual Meeting,New York,Topic 2
E043,2023-10-04,Workshop,Miami,Topic 1
E044,2023-01-20,Seminar,Chicago,Topic 12
E045,2023-12-31,Local Chapter Event,Houston,Topic 11
E046,2022-05-03,Seminar,Miami,Topic 2
E047,2022-07-17,Workshop,New York,Topic 9
E048,2022-07-06,Seminar,Miami,Topic 3
E049,2023-10-22,Workshop,Houston,Topic 19
E050,2022-05-27,Workshop,Houston,Topic 9
E051,2024-07-17,Workshop,Chicago,Topic 8
E052,2023-10-03,Webinar,Online,Topic 18
E053,2022-05-31,Workshop,Chicago,Topic 3
E054,2022-09-20,Webinar,Online,Topic 16
E055,2024-10-13,Workshop,New York,Topic 2
E056,2024-06-15,Annual Meeting,Houston,Topic 5
E057,2024-11-26,Local Chapter Event,New York,Topic 9
E058,2024-03-26,Webinar,Online,Topic 1
E059,2023-09-20,Annual Meeting,Houston,Topic 6
E060,2022-04-14,Webinar,Online,Topic 3
E061,2023-05-25,Local Chapter Event,New York,Topic 18
E062,2024-05-27,Workshop,San Francisco,Topic 16
E063,2024-08-14,Seminar,New York,Topic 4
E064,2024-03-11,Workshop,Houston,Topic 8
E065,2023-02-05,Workshop,Houston,Topic 19
E066,2023-04-15,Seminar,Miami,Topic 19
E067,2023-03-14,Local Chapter Event,San Francisco,Topic 2
E068,2024-03-08,Webinar,Online,Topic 15
E069,2024-08-17,Local Chapter Event,Houston,Topic 16
E070,2023-10-21,Webinar,Online,Topic 17
E071,2022-01-17,Local Chapter Event,Miami,Topic 14
E072,2023-06-02,Workshop,New York,Topic 5
E073,2022-10-07,Workshop,Miami,Topic 3
E074,2023-12-01,Local Chapter Event,Miami,Topic 1
E075,2022-05-08,Workshop,Chicago,Topic 3
E076,2023-11-17,Annual Meeting,Chicago,Topic 10
E077,2024-02-24,Webinar,Online,Topic 9
E078,2022-09-03,Workshop,Miami,Topic 10
E079,2024-01-29,Workshop,Chicago,Topic 13
E080,2024-04-07,Workshop,New York,Topic 4
E081,2023-11-16,Seminar,Houston,Topic 19
E082,2023-04-16,Annual Meeting,Chicago,Topic 2
E083,2023-12-28,Webinar,Online,Topic 19
E084,2023-07-29,Local Chapter Event,Chicago,Topic 17
E085,2023-11-13,Webinar,Online,Topic 11
E086,2023-03-20,Workshop,Miami,Topic 12
E087,2022-01-05,Workshop,Miami,Topic 15
E088,2024-05-16,Webinar,Online,Topic 16
E089,2022-09-26,Local Chapter Event,Chicago,Topic 19
E090,2023-10-19,Workshop,San Francisco,Topic 5
E091,2022-04-27,Annual Meeting,New York,Topic 12
E092,2024-10-09,Annual Meeting,Chicago,Topic 1
E093,2024-03-12,Seminar,New York,Topic 8
E094,2024-06-15,Local Chapter Event,Miami,Topic 3
E095,2022-06-03,Workshop,Miami,Topic 14
E096,2024-12-28,Annual Meeting,Houston,Topic 5
E097,2024-06-30,Annual Meeting,Miami,Topic 7
E098,2022-12-23,Workshop,Chicago,Topic 5
E099,2024-03-12,Seminar,Chicago,Topic 19
E100,2023-03-18,Workshop,Miami,Topic 13
E101,2023-05-31,Webinar,Online,Topic 16
E102,2022-09-15,Annual Meeting,San Francisco,Topic 12
E103,2023-11-21,Webinar,Online,Topic 1
E104,2024-08-14,Workshop,Miami,Topic 12
E105,2024-12-02,Seminar,Miami,Topic 12
E106,2023-05-14,Webinar,Online,Topic 17
E107,2022-03-31,Workshop,Chicago,Topic 10
E108,2024-10-18,Webinar,Online,Topic 9
E109,2024-04-05,Webinar,Online,Topic 13
E110,2023-02-17,Annual Meeting,New York,Topic 4
E111,2023-04-02,Webinar,Online,Topic 3
E112,2024-09-04,Seminar,Miami,Topic 12
E113,2022-10-06,Webinar,Online,Topic 9
E114,2022-03-03,Workshop,New York,Topic 13
E115,2023-11-30,Annual Meeting,Houston,Topic 12
E116,2023-03-21,Local Chapter Event,Houston,Topic 9
E117,2023-03-31,Local Chapter Event,Houston,Topic 19
E118,2022-05-24,Workshop,San Francisco,Topic 12
E119,2024-11-14,Webinar,Online,Topic 4
E120,2023-07-23,Seminar,Miami,Topic 10
E121,2024-07-23,Local Chapter Event,Chicago,Topic 5
E122,2024-01-03,Workshop,Chicago,Topic 15
E123,2023-08-11,Webinar,Online,Topic 12
E124,2024-07-01,Seminar,Miami,Topic 8
E125,2022-06-19,Workshop,San Francisco,Topic 2
E126,2022-01-29,Annual Meeting,San Francisco,Topic 8
E127,2023-05-15,Seminar,New York,Topic 13
E128,2024-12-29,Webinar,Online,Topic 19
E129,2023-03-21,Workshop,San Francisco,Topic 10
E130,2022-02-08,Workshop,Miami,Topic 13
E131,2024-01-24,Workshop,Chicago,Topic 8
E132,2024-04-08,Webinar,Online,Topic 7
E133,2024-10-21,Webinar,Online,Topic 17
E134,2024-04-03,Workshop,Miami,Topic 6
E135,2022-02-27,Annual Meeting,Miami,Topic 15
E136,2022-03-21,Workshop,San Francisco,Topic 5
E137,2022-02-16,Webinar,Online,Topic 14
E138,2023-10-18,Webinar,Online,Topic 11
E139,2024-11-01,Local Chapter Event,Houston,Topic 8
E140,2023-11-07,Workshop,Chicago,Topic 18
E141,2023-06-24,Annual Meeting,New York,Topic 4
E142,2023-05-17,Annual Meeting,New York,Topic 1
E143,2023-04-06,Webinar,Online,Topic 13
E144,2023-01-25,Local Chapter Event,Miami,Topic 15
E145,2023-03-26,Annual Meeting,Chicago,Topic 13
E146,2024-10-25,Annual Meeting,New York,Topic 1
E147,2022-05-26,Local Chapter Event,New York,Topic 11
E148,2024-05-02,Webinar,Online,Topic 17
E149,2022-04-15,Workshop,New York,Topic 16
E150,2024-04-02,Local Chapter Event,New York,Topic 5
E151,2024-02-10,Webinar,Online,Topic 5
E152,2023-11-08,Webinar,Online,Topic 19
E153,2023-04-02,Seminar,San Francisco,Topic 13
E154,2023-12-18,Seminar,New York,Topic 17
E155,2023-05-03,Webinar,Online,Topic 8
E156,2022-06-03,Workshop,San Francisco,Topic 18
E157,2022-09-25,Webinar,Online,Topic 12
E158,2023-01-24,Annual Meeting,San Francisco,Topic 17
E159,2023-09-16,Workshop,Miami,Topic 14
E160,2023-08-01,Webinar,Online,Topic 7
E161,2024-02-03,Local Chapter Event,Chicago,Topic 2
E162,2024-03-08,Webinar,Online,Topic 19
E163,2023-03-23,Webinar,Online,Topic 6
E164,2024-09-10,Local Chapter Event,Chicago,Topic 19
E165,2022-03-22,Local Chapter Event,Houston,Topic 10
E166,2022-07-03,Webinar,Online,Topic 17
E167,2024-09-10,Annual Meeting,Miami,Topic 2
E168,2022-07-24,Seminar,San Francisco,Topic 16
E169,2022-04-21,Seminar,San Francisco,Topic 16
E170,2024-06-18,Seminar,New York,Topic 3
E171,2023-10-29,Webinar,Online,Topic 18
E172,2022-03-02,Seminar,San Francisco,Topic 5
E173,2023-08-27,Workshop,Miami,Topic 6
E174,2023-10-07,Workshop,Chicago,Topic 14
E175,2023-06-30,Seminar,Chicago,Topic 13
E176,2024-03-04,Webinar,Online,Topic 15
E177,2024-12-15,Local Chapter Event,Miami,Topic 17
E178,2024-11-15,Local Chapter Event,New York,Topic 3
E179,2023-12-20,Workshop,Chicago,Topic 14
E180,2022-12-31,Annual Meeting,San Francisco,Topic 19
E181,2024-10-27,Webinar,Online,Topic 14
E182,2022-12-29,Workshop,Miami,Topic 18
E183,2024-03-16,Workshop,New York,Topic 5
E184,2022-01-28,Annual Meeting,New York,Topic 17
E185,2022-03-27,Workshop,Houston,Topic 17
E186,2022-01-25,Webinar,Online,Topic 3
E187,2022-08-21,Workshop,Houston,Topic 15
E188,2022-02-03,Webinar,Online,Topic 8
E189,2024-01-18,Seminar,New York,Topic 5
E190,2023-11-23,Webinar,Online,Topic 2
E191,2022-11-11,Local Chapter Event,Miami,Topic 1
E192,2023-10-24,Seminar,Houston,Topic 11
E193,2022-12-16,Seminar,New York,Topic 3
E194,2022-08-31,Annual Meeting,Miami,Topic 4
E195,2024-07-08,Seminar,Chicago,Topic 11
E196,2022-01-04,Annual Meeting,New York,Topic 6
E197,2024-08-04,Webinar,Online,Topic 2
E198,2024-04-26,Workshop,Chicago,Topic 19
E199,2022-06-22,Webinar,Online,Topic 6
E200,2024-04-15,Workshop,New York,Topic 17
